test_name,planner_name,num_agents,planning_time,plan_cost,num_collision_checks
test29,DRRT-FIRST,4,0,inf,551334
test30,DRRT-FIRST,4,0,inf,771724
test31,DRRT-FIRST,4,0,inf,987983
test32,DRRT-FIRST,4,0,inf,561799
test33,DRRT-FIRST,4,1.76025,47.5222,162445
test34,DRRT-FIRST,4,0,inf,631991
test35,DRRT-FIRST,4,0,inf,743932
test36,DRRT-FIRST,4,0,inf,1109513
test37,DRRT-FIRST,4,0,inf,670587
test38,DRRT-FIRST,4,0,inf,996731
test39,DRRT-FIRST,4,0.833087,47.8037,582611
test40,DRRT-FIRST,4,0,inf,591975
test41,DRRT-FIRST,4,0,inf,1257169
test42,DRRT-FIRST,4,0,inf,769162
test43,DRRT-FIRST,4,0,inf,701531
test44,DRRT-FIRST,4,0,inf,740480
test45,DRRT-FIRST,4,0,inf,891207
test46,DRRT-FIRST,4,0,inf,596812
test47,DRRT-FIRST,4,0,inf,708933
test48,DRRT-FIRST,4,1.38566,33.0892,446487
test49,DRRT-FIRST,4,0,inf,464289
test0,ECBS,4,40.7344,17.5406,1017406
test1,ECBS,4,8.52758,20.56,246222
test2,ECBS,4,11.4931,23.0383,297977
test3,ECBS,4,1.07966,24.5742,28544
test4,ECBS,4,14.5335,25.22,430048
test5,ECBS,4,13.4603,24.7488,322869
test6,ECBS,4,25.3646,28.0998,716514
test7,ECBS,4,59.0894,30.1767,1446954
test8,ECBS,4,69.8065,inf,1811713
test9,ECBS,4,11.3325,23.3176,294002
test10,ECBS,4,43.25,23.4921,1202880
test11,ECBS,4,16.5011,27.4017,410352
test12,ECBS,4,60.0991,inf,1457370
test13,ECBS,4,65.4025,inf,1700233
test14,ECBS,4,13.0968,22.8464,333531
test15,ECBS,4,11.5517,23.1954,314982
test16,ECBS,4,38.201,22.9511,900441
test17,ECBS,4,24.1799,21.7817,651238
test18,ECBS,4,60.2778,inf,1262510
test19,ECBS,4,0.61519,20.368,14779
test20,ECBS,4,35.4148,22.5322,712184
test21,ECBS,4,54.7859,29.6182,1178659
test22,ECBS,4,1.48527,19.6175,31018
